,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,پالايش,صندوق پالايشي يکم-سهام,99235,137814592,12028014271710,80100,88110,88110,8010,10.0,87280,7180,8.96,83000,88110,1399-11-20
1,دارا يكم,صندوق واسطه گري مالي يكم-سهام,87185,75672355,11404767449520,139970,153960,153960,13990,9.99,150710,10740,7.67,143750,153960,1399-11-20
2,شستا,سرمايه گذاري تامين اجتماعي,44196,172698757,3846594364970,21620,22700,22280,660,3.05,22270,650,3.01,21150,22700,1399-11-20
3,سپيدار,سپيدار سيستم آسيا,37882,335184,20362763184,57859,60751,60751,2892,5.0,58937,1078,1.86,60751,60751,1399-11-20
4,خودرو,ايران‌ خودرو,34569,1192787774,3140183673670,2570,2690,2670,100,3.89,2630,60,2.33,2530,2690,1399-11-20
5,خساپا,سايپا,32844,1817304289,4115502187800,2170,2270,2270,100,4.61,2260,90,4.15,2210,2270,1399-11-20
6,شپنا,پالايش نفت اصفهان,32278,402136350,4701210320830,11170,11720,11720,550,4.92,11690,520,4.66,11230,11720,1399-11-20
7,آوا,صندوق س.سهام آواي معيار-س,28613,313332292,2637609501092,8501,9020,8230,-271,-3.19,8418,-83,-0.98,7905,9100,1399-11-20
8,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,25758,764355413,2365306793080,3070,3140,3110,40,1.3,3090,20,0.65,2970,3190,1399-11-20
9,بركت,گروه دارويي بركت,23633,79334852,1809782739590,21950,23040,23040,1090,4.97,22810,860,3.92,22000,23040,1399-11-20
10,شتران,پالايش نفت تهران,23131,225639526,2031673369570,8690,9120,9020,330,3.8,9000,310,3.57,8430,9120,1399-11-20
11,وكبهمن,مديريت سرمايه گذاري كوثربهمن,22238,18357892,247011876592,14027,14270,13326,-701,-5.0,13455,-572,-4.08,13326,14270,1399-11-20
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,20542,193565264,2013748557650,9930,10420,10420,490,4.93,10400,470,4.73,10100,10420,1399-11-20
13,وسپهر,سرمايه گذاري مالي سپهرصادرات,19148,70997629,717491688887,10243,10300,10101,-142,-1.39,10106,-137,-1.34,10100,10300,1399-11-20
14,بوعلي,پتروشيمي بوعلي سينا,17426,6711959,292974815100,43750,44900,43130,-620,-1.42,43650,-100,-0.23,42370,44900,1399-11-20
15,سبهان,سيمان‌ بهبهان‌,17095,11915216,1871466225980,149920,157410,157410,7490,5.0,157070,7150,4.77,151120,157410,1399-11-20
16,وتجارت,بانك تجارت,16493,472718140,1340640218570,2810,2890,2870,60,2.14,2840,30,1.07,2710,2900,1399-11-20
17,زملارد,كشاورزي و دامپروري ملارد شير,16037,5787828,208156668059,35363,37000,35650,287,0.81,35965,602,1.7,34300,37130,1399-11-20
18,شاروم,پتروشيمي اروميه,15805,11877312,222550789870,18971,19700,18230,-741,-3.91,18737,-234,-1.23,18050,19850,1399-11-20
19,فولاد,فولاد مباركه اصفهان,14612,158299571,1795485045790,10810,11350,11350,540,5.0,11340,530,4.9,11150,11350,1399-11-20
20,غزر,صنعتي زر ماكارون,14338,11402429,319865156260,29340,29000,27880,-1460,-4.98,28050,-1290,-4.4,27880,29790,1399-11-20
21,كزغال,زغال سنگ پروده طبس,14178,1758278,39816205310,21567,22645,22645,1078,5.0,22343,776,3.6,22645,22645,1399-11-20
22,حكشتي,كشتيراني جمهوري اسلامي ايران,14101,62982932,1286430395050,21000,21330,20100,-900,-4.29,20430,-570,-2.71,19950,21700,1399-11-20
23,ثبهساز,بهساز كاشانه تهران,13999,109272551,271472094530,2490,2610,2460,-30,-1.2,2480,-10,-0.4,2380,2610,1399-11-20
24,قثابت,قند ثابت‌ خراسان‌,13357,27037112,1748288549400,63420,60450,66250,2830,4.46,63420,0,0.0,60450,66590,1399-11-20
25,سيتا,سرمايه گذاري سيمان تامين,13271,32480242,488190092020,15440,15490,15020,-420,-2.72,15030,-410,-2.66,15000,15490,1399-11-20
26,ثاميد,توسعه و عمران اميد,13057,113033814,195737790910,1760,1800,1720,-40,-2.27,1730,-30,-1.7,1680,1810,1399-11-20
27,وبصادر,بانك صادرات ايران,12528,377522722,982789104010,2520,2640,2620,100,3.97,2600,80,3.17,2490,2640,1399-11-20
28,ذوب,سهامي ذوب آهن  اصفهان,12445,204727425,853933806986,4037,4218,4212,175,4.33,4171,134,3.32,3993,4238,1399-11-20
29,وبملت,بانك ملت,10929,352746692,1393581670810,3790,3970,3970,180,4.75,3950,160,4.22,3810,3970,1399-11-20
30,بپيوند,برق و انرژي پيوندگستر پارس,10769,12346828,191463200658,15461,16234,15360,-101,-0.65,15507,46,0.3,14800,16234,1399-11-20
31,شبندر,پالايش نفت بندرعباس,10389,39624067,829688887980,20170,21170,21080,910,4.51,20940,770,3.82,20000,21170,1399-11-20
32,كاما,باما,10309,57433564,824907678070,14830,15400,14090,-740,-4.99,14360,-470,-3.17,14090,15450,1399-11-20
33,سمگا,گروه سرمايه گذاري ميراث فرهنگي,10173,63716555,1812516010942,27383,28000,28752,1369,5.0,28447,1064,3.89,27100,28752,1399-11-20
34,ثشاهد,سرمايه‌ گذاري‌ شاهد,9730,43685928,894973124220,21110,21750,20160,-950,-4.5,20490,-620,-2.94,20060,21870,1399-11-20
35,وپارس,بانك‌پارسيان‌,9595,419738718,1288010086420,2940,3080,3080,140,4.76,3070,130,4.42,2950,3080,1399-11-20
36,ثفارس,عمران‌وتوسعه‌فارس‌,9313,58704282,769189790340,12950,13590,12460,-490,-3.78,13100,150,1.16,12400,13590,1399-11-20
37,امين,تامين سرمايه امين,9234,10116167,105099987290,10590,10550,10410,-180,-1.7,10390,-200,-1.89,10150,10550,1399-11-20
38,آريا,پليمر آريا ساسول,9082,4191590,329218742148,76270,80083,77863,1593,2.09,78543,2273,2.98,76271,80083,1399-11-20
39,غگل,گلوكوزان‌,9036,113622955,437002226770,3990,4080,3810,-180,-4.51,3850,-140,-3.51,3800,4090,1399-11-20
40,آبادا,توليد نيروي برق آبادان,8917,4979901,73985422580,15130,15280,14900,-230,-1.52,14860,-270,-1.78,14380,15830,1399-11-20
41,بگيلان,توسعه مسير برق گيلان,8881,4950732,104235692683,21096,21060,21400,304,1.44,21055,-41,-0.19,20043,21840,1399-11-20
42,آگاس,صندوق س.هستي بخش آگاه-س,8526,13111893,860524152782,68107,69000,65000,-3107,-4.56,65629,-2478,-3.64,63201,69000,1399-11-20
43,غنوش,نوش‌ مازندران‌,8308,12930333,724945544840,58610,57000,56100,-2510,-4.28,56070,-2540,-4.33,55680,59000,1399-11-20
44,وخارزم,سرمايه گذاري خوارزمي,8228,62262867,542895944960,8420,8840,8840,420,4.99,8720,300,3.56,8320,8840,1399-11-20
45,كرمان,س. توسعه و عمران استان كرمان,8184,12347867,678974865088,56748,57050,53980,-2768,-4.88,54987,-1761,-3.1,53920,58100,1399-11-20
46,انرژي3,سايراشخاص بورس انرژي,7893,2340948,711381299810,297880,312770,301990,4110,1.38,303890,6010,2.02,290000,312770,1399-11-20
47,سرو,صندوق س سروسودمند مدبران-سهام,7667,12190237,816088515330,68540,69850,65990,-2550,-3.72,66950,-1590,-2.32,64500,69900,1399-11-20
48,ثقزوي,شركت عمران و سازندگي قزوين,7631,18208247,574418126838,31436,31493,32379,943,3.0,31547,111,0.35,30493,32379,1399-11-20
49,چكاپا,گروه صنايع كاغذ پارس,7269,90738908,468545005910,5320,5420,5190,-130,-2.44,5160,-160,-3.01,5060,5480,1399-11-20
50,رافزا,رايان هم افزا,7231,42215,1830484615,41297,43361,43361,2064,5.0,41369,72,0.17,43361,43361,1399-11-20
51,وهنر,گروه توسعه هنر ايران,7163,81680504,790318338449,9224,9685,9685,461,5.0,9676,452,4.9,9224,9685,1399-11-20
52,كلر,كلر پارس,7014,5937944,817082412123,142661,145533,135670,-6991,-4.9,137604,-5057,-3.54,135528,145533,1399-11-20
53,آسيا,بيمه آسيا,6927,135722709,334525397800,2540,2640,2420,-120,-4.72,2460,-80,-3.15,2420,2640,1399-11-20
54,شگويا,پتروشيمي تندگويان,6911,34863120,289939363500,8202,8600,8301,99,1.21,8317,115,1.4,8003,8600,1399-11-20
55,پيزد,مجتمع صنايع لاستيك يزد,6849,1502431,101350650679,70359,69500,67040,-3319,-4.72,67458,-2901,-4.12,66852,69500,1399-11-20
56,خزاميا,زامياد,6802,73711043,600078882040,8130,8440,8120,-10,-0.12,8140,10,0.12,7800,8490,1399-11-20
57,ثاخت,بين‌المللي‌توسعه‌ساختمان,6791,131970083,394937914700,3110,3130,2970,-140,-4.5,2990,-120,-3.86,2960,3180,1399-11-20
58,خبهمن,گروه‌بهمن‌,6744,45568178,953188709200,20030,21030,21030,1000,4.99,20920,890,4.44,20210,21030,1399-11-20
59,ولپارس,ليزينگ پارسيان,6683,17267405,95662881500,5770,5950,5490,-280,-4.85,5540,-230,-3.99,5490,5950,1399-11-20
60,خپارس,پارس‌ خودرو,6583,113602834,662528441560,5810,5940,5880,70,1.2,5830,20,0.34,5580,6060,1399-11-20
61,غپينو,پارس‌ مينو,6463,57149689,409630771450,7030,7380,6960,-70,-1.0,7170,140,1.99,6710,7380,1399-11-20
62,شبريز,پالايش نفت تبريز,6460,27866103,728053242370,25670,26950,26050,380,1.48,26130,460,1.79,24800,26950,1399-11-20
63,بترانس,ايران‌ ترانسفو,6322,178782338,482037867700,2580,2700,2700,120,4.65,2700,120,4.65,2600,2700,1399-11-20
64,تكشا,گسترش‌صنايع‌وخدمات‌كشاورزي‌,6047,7310867,355464600620,48450,49490,48550,100,0.21,48620,170,0.35,46300,50700,1399-11-20
65,صبا,سرمايه گذاري صبا تامين,5834,29941150,230618468553,7695,8030,7655,-40,-0.52,7702,7,0.09,7360,8063,1399-11-20
66,شپلي,پلي اكريل ايران,5825,91073097,1096490261790,12138,11896,12380,242,1.99,12040,-98,-0.81,11896,12380,1399-11-20
67,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,5773,75272601,866742143240,10990,11530,11530,540,4.91,11510,520,4.73,11140,11530,1399-11-20
68,فارس,صنايع پتروشيمي خليج فارس,5599,68231394,625627239300,8750,9180,9180,430,4.91,9170,420,4.8,9000,9180,1399-11-20
69,فروي,ذوب روي اصفهان,5309,4181031,275965292068,64473,66800,66499,2026,3.14,66004,1531,2.37,63473,67696,1399-11-20
70,تاصيكو,سرمايه گذاري صدرتامين,5163,77286184,793024935990,10680,10800,10150,-530,-4.96,10260,-420,-3.93,10150,10980,1399-11-20
71,كمند,صندوق س. با درآمد ثابت كمند,5056,224520774,2251524862015,10022,10027,10027,5,0.05,10028,6,0.06,10027,10031,1399-11-20
72,فرابورس,فرابورس ايران,4904,12126743,405717606649,34144,35680,32730,-1414,-4.14,33456,-688,-2.01,32437,35680,1399-11-20
73,قلرست,قند لرستان‌,4807,10459181,346800596330,32680,32200,34310,1630,4.99,33160,480,1.47,31050,34310,1399-11-20
74,مدير,ص.س.مديريت ثروت ص.بازنشستگي-س,4790,29577209,288276257210,9508,10100,9690,182,1.91,9747,239,2.51,9310,10190,1399-11-20
75,خمحركه,نيرو محركه‌,4584,46975060,227501904980,4950,5030,4780,-170,-3.43,4840,-110,-2.22,4710,5130,1399-11-20
76,وپويا,سرمايه گذاري پويا,4520,3846998,24863148074,6156,6463,6463,307,4.99,6292,136,2.21,6463,6463,1399-11-20
77,فزرين,زرين معدن آسيا,4369,19143256,444463051750,23316,24250,23590,274,1.18,23218,-98,-0.42,22155,24300,1399-11-20
78,گكوثر,هتل پارسيان كوثر اصفهان,4365,95457492,252568668627,2764,2790,2673,-91,-3.29,2646,-118,-4.27,2626,2790,1399-11-20
79,تليسه,دامداري تليسه نمونه,4361,43013574,185519751118,4477,4634,4254,-223,-4.98,4313,-164,-3.66,4254,4634,1399-11-20
80,كبافق,معادن‌ بافق‌,4326,5156662,273051370330,51940,54500,54450,2510,4.83,52950,1010,1.94,49350,54530,1399-11-20
81,چفيبر,فيبر ايران‌,4302,32803416,455834411220,14500,13910,13780,-720,-4.97,13900,-600,-4.14,13780,14780,1399-11-20
82,قشكر,شكرشاهرود,4206,62144244,239688217450,3970,4150,3800,-170,-4.28,3860,-110,-2.77,3780,4150,1399-11-20
83,ساوه,سيمان ساوه,4198,2526950,137442853193,54751,56900,53300,-1451,-2.65,54391,-360,-0.66,52500,56900,1399-11-20
84,بجهرم,توسعه مولد نيروگاهي جهرم,4141,54708570,160960574633,2875,3015,2963,88,3.06,2942,67,2.33,2837,3015,1399-11-20
85,ونوين,بانك‌اقتصادنوين‌,4091,109723974,431298115330,3800,3990,3920,120,3.16,3930,130,3.42,3780,3990,1399-11-20
86,وساپا,سرمايه‌گذاري‌ سايپا,4086,54633967,329767743040,5950,6240,6030,80,1.34,6040,90,1.51,5700,6240,1399-11-20
87,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,4072,1588358,277842627920,179120,185000,172000,-7120,-3.97,174920,-4200,-2.34,170170,185000,1399-11-20
88,كوير,توليدي فولاد سپيد فراب كوير,4021,16912024,414604689200,25430,25790,24160,-1270,-4.99,24520,-910,-3.58,24160,25790,1399-11-20
89,غسالم,سالمين‌,4015,44341760,190342903640,4400,4570,4290,-110,-2.5,4290,-110,-2.5,4180,4570,1399-11-20
90,سبزوا,سيمان لار سبزوار,3959,40482858,153018089561,3908,4090,3715,-193,-4.94,3780,-128,-3.28,3713,4090,1399-11-20
91,ثنوسا,نوسازي‌وساختمان‌تهران‌,3908,31089964,407556985730,12610,12960,13240,630,5.0,13110,500,3.97,12600,13240,1399-11-20
92,وآذر,سرمايه‌گذاري‌توسعه‌آذربايجان‌,3877,3859227,335727169760,89380,90200,84920,-4460,-4.99,86990,-2390,-2.67,84920,92000,1399-11-20
93,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,3839,41105213,485072962950,11290,11850,11850,560,4.96,11800,510,4.52,11410,11850,1399-11-20
94,فخوز,فولاد  خوزستان,3795,28494256,360624988190,12140,12700,12600,460,3.79,12660,520,4.28,12180,12740,1399-11-20
95,فاراك,ماشين‌ سازي‌ اراك‌,3793,42018919,210060766280,5120,5300,5020,-100,-1.95,5000,-120,-2.34,4870,5300,1399-11-20
96,قپيرا,فرآورده‌هاي‌غدايي‌وقندپيرانشهر,3686,2799809,283410261430,102490,97370,106590,4100,4.0,101220,-1270,-1.24,97370,107000,1399-11-20
97,غشهداب,كشت و صنعت شهداب ناب خراسان,3675,51057190,193045832001,3690,3850,3874,184,4.99,3781,91,2.47,3560,3874,1399-11-20
98,بكام,كارخانجات توليدي شهيد قندي,3666,53845715,183226360110,3520,3640,3350,-170,-4.83,3400,-120,-3.41,3350,3640,1399-11-20
99,نوري,پتروشيمي نوري,3639,4967467,260570295080,52050,52580,52420,370,0.71,52460,410,0.79,50610,53990,1399-11-20
100,شيران,س. صنايع‌شيميايي‌ايران,3550,10543831,295862457730,28240,28540,29000,760,2.69,28060,-180,-0.64,27000,29070,1399-11-20
101,فاذر,صنايع‌ آذرآب‌,3547,11649978,283274531370,24960,25800,24200,-760,-3.04,24320,-640,-2.56,23720,25800,1399-11-20
102,ارزش,صندوق س ارزش آفرين بيدار-سهام,3528,28191429,283444064730,9980,10380,9970,-10,-0.1,10050,70,0.7,9710,10400,1399-11-20
103,ختوقا,قطعات‌ اتومبيل‌ ايران‌,3513,73956021,191491610940,2620,2700,2580,-40,-1.53,2590,-30,-1.15,2500,2730,1399-11-20
104,فجر,فولاد اميركبيركاشان,3501,8770468,584222099510,64290,65000,66900,2610,4.06,66610,2320,3.61,64000,67500,1399-11-20
105,سفارس,سيمان فارس و خوزستان,3498,21413626,391970025300,19080,19290,18130,-950,-4.98,18300,-780,-4.09,18130,19290,1399-11-20
106,خكمك,كمك‌فنرايندامين‌,3443,12185628,350444842750,29570,31040,28100,-1470,-4.97,28760,-810,-2.74,28100,31040,1399-11-20
107,كالا,بورس كالاي ايران,3432,8303830,267771317500,33130,34470,31850,-1280,-3.86,32250,-880,-2.66,31480,34470,1399-11-20
108,ميهن,بيمه ميهن,3429,32565939,151927934505,4780,4930,4732,-48,-1.0,4665,-115,-2.41,4541,4940,1399-11-20
109,وكارح,ح . بانك‌ كارآفرين‌,3417,146354198,208667403780,1440,1520,1400,-40,-2.78,1430,-10,-0.69,1340,1570,1399-11-20
110,ملت,بيمه ملت,3379,15118706,235939336010,15360,16110,15400,40,0.26,15610,250,1.63,14810,16120,1399-11-20
111,كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,3337,10235267,264037980660,27010,26520,25660,-1350,-5.0,25800,-1210,-4.48,25660,27300,1399-11-20
112,اخابر,مخابرات ايران,3336,29331615,304473191430,10240,10670,10330,90,0.88,10380,140,1.37,9900,10750,1399-11-20
113,خنصير,مهندسي‌نصيرماشين‌,3335,2986046,262026659120,87220,87400,87160,-60,-0.07,87750,530,0.61,83020,90500,1399-11-20
114,زكوثر,سرمايه گذاري كشاورزي كوثر,3289,10132612,214033734840,22060,22750,21000,-1060,-4.81,21120,-940,-4.26,20960,22750,1399-11-20
115,كپارس,كاشي‌ پارس‌,3269,1643771,253195922430,149900,155000,157390,7490,5.0,154030,4130,2.76,144580,157390,1399-11-20
116,توريل,توکاريل,3238,12817893,312622071232,23345,24512,24512,1167,5.0,24390,1045,4.48,23400,24512,1399-11-20
117,ديران,ايران‌دارو,3235,8499959,233414649920,28600,28800,27170,-1430,-5.0,27460,-1140,-3.99,27170,29250,1399-11-20
118,غبهنوش,بهنوش‌ ايران‌,3230,2545617,185693378680,72650,76000,71350,-1300,-1.79,72950,300,0.41,70100,76000,1399-11-20
119,زقيام,كشت و دام قيام اصفهان,3202,8425048,269934971621,30677,32210,32210,1533,5.0,32040,1363,4.44,30677,32210,1399-11-20
120,شلعاب,لعابيران‌,3181,15182478,243313637010,16530,15820,16450,-80,-0.48,16030,-500,-3.02,15710,16530,1399-11-20
121,شسينا,صنايع‌شيميايي‌سينا,3179,2672476,340032630100,121780,127800,127860,6080,4.99,127240,5460,4.48,122970,127860,1399-11-20
122,پدرخش,درخشان‌ تهران‌,3159,1206096,173349488380,141000,148040,141000,0,0.0,143730,2730,1.94,136790,148040,1399-11-20
123,حفاري,حفاري شمال,3150,17959976,193853392460,10740,11190,10740,0,0.0,10790,50,0.47,10450,11210,1399-11-20
124,فسرب,ملي‌ سرب‌وروي‌ ايران‌,3150,3357822,261846928750,80630,84600,77790,-2840,-3.52,77980,-2650,-3.29,76600,84600,1399-11-20
125,غگيلا,شيرپاستوريزه پگاه گيلان,3103,79413,1828722564,21932,23028,23028,1096,5.0,21970,38,0.17,23028,23028,1399-11-20
126,كماسه,تامين‌ ماسه‌ ريخته‌گري‌,3053,4854432,226400695280,48580,49500,46160,-2420,-4.98,46640,-1940,-3.99,46160,49500,1399-11-20
127,ونيرو,سرمايه‌گذاري‌نيرو,3027,64089546,168584595660,2650,2740,2610,-40,-1.51,2630,-20,-0.75,2520,2780,1399-11-20
128,غگرجي,بيسكويت‌  گرجي‌,3020,9058475,175485388030,20190,20200,19190,-1000,-4.95,19370,-820,-4.06,19190,20690,1399-11-20
129,دانا,بيمه دانا,3000,42999214,263672548710,6440,6200,6120,-320,-4.97,6130,-310,-4.81,6120,6230,1399-11-20
130,امين يكم,صندوق درآمد ثابت امين يكم فردا,2977,117785639,1201072731648,10188,10190,10199,11,0.11,10197,9,0.09,10190,10201,1399-11-20
131,دماوند,توليد نيروي برق دماوند,2968,3870478,199589218209,53532,54990,50856,-2676,-5.0,51567,-1965,-3.67,50856,54990,1399-11-20
132,وپاسار,بانك  پاسارگاد,2942,34004728,408878692120,11950,12020,12140,190,1.59,12020,70,0.59,11710,12200,1399-11-20
133,وتوصا,گروه س توسعه صنعتي ايران,2874,17062329,218317000330,13030,13500,12380,-650,-4.99,12800,-230,-1.77,12380,13590,1399-11-20
134,ولانا,شركت ليزينگ آريا دانا,2854,5603052,186325999170,34196,33171,33173,-1023,-2.99,33254,-942,-2.75,33171,34051,1399-11-20
135,ماديرا,صنايع ماشين هاي اداري ايران,2820,15806948,144092627680,9452,9560,8980,-472,-4.99,9116,-336,-3.55,8980,9700,1399-11-20
136,وپست,پست بانك ايران,2819,19719149,324120453790,17140,17890,16500,-640,-3.73,16440,-700,-4.08,16290,17890,1399-11-20
137,ولساپا,ليزينگ رايان‌ سايپا,2803,46871843,170983358650,3700,3750,3630,-70,-1.89,3650,-50,-1.35,3520,3790,1399-11-20
138,ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,2786,11524487,123236212460,10590,11110,10500,-90,-0.85,10690,100,0.94,10100,11110,1399-11-20
139,حفارس,حمل و نقل بين المللي خليج فارس,2769,36989555,186419192940,5260,5200,5000,-260,-4.94,5040,-220,-4.18,5000,5320,1399-11-20
140,كچاد,معدني‌وصنعتي‌چادرملو,2730,19237698,387210508930,19230,20190,20190,960,4.99,20130,900,4.68,19310,20190,1399-11-20
141,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,2687,33269846,182403110910,5620,5650,5460,-160,-2.85,5480,-140,-2.49,5340,5750,1399-11-20
142,رتكو,كنترل‌خوردگي‌تكين‌كو,2681,13335921,277012765160,21740,20660,20660,-1080,-4.97,20770,-970,-4.46,20660,21500,1399-11-20
143,كگل,معدني و صنعتي گل گهر,2653,21489107,382728489950,17050,17700,17900,850,4.99,17810,760,4.46,16950,17900,1399-11-20
144,بشهاب,لامپ‌  پارس‌ شهاب‌,2645,1759269,209517005690,118780,113000,124710,5930,4.99,119090,310,0.26,112850,124710,1399-11-20
145,البرز,بيمه البرز,2598,36179141,137100071770,3910,4020,3770,-140,-3.58,3790,-120,-3.07,3720,4020,1399-11-20
146,خودكفا,اقتصادي و خودكفايي آزادگان,2551,10169694,269246355785,27000,27000,26190,-810,-3.0,26475,-525,-1.94,26190,27777,1399-11-20
147,فافزا,فولاد افزا سپاهان,2539,3970609,220603592065,56715,55100,57399,684,1.21,55559,-1156,-2.04,55014,57996,1399-11-20
148,سكرما,سيمان‌ كرمان‌,2525,9786291,175180076610,18310,19160,18380,70,0.38,17900,-410,-2.24,17400,19160,1399-11-20
149,فنوال,نورد آلومينيوم‌,2521,10459840,276752032300,27510,27510,26800,-710,-2.58,26460,-1050,-3.82,26140,28100,1399-11-20
150,چكاوهح,ح . صنايع‌كاغذسازي‌كاوه‌,2497,17600957,161238547060,10010,9980,9030,-980,-9.79,9160,-850,-8.49,9010,9980,1399-11-20
151,كلوند,كاشي‌ الوند,2482,6260944,330828280960,50330,52840,52840,2510,4.99,52840,2510,4.99,52840,52840,1399-11-20
152,بكهنوج,توليد برق ماهتاب كهنوج,2413,49163547,90508658985,1804,1894,1830,26,1.44,1841,37,2.05,1750,1894,1399-11-20
153,ودي,بيمه  دي,2397,13913946,315140489833,23667,24300,22484,-1183,-5.0,22649,-1018,-4.3,22484,24300,1399-11-20
154,غدشت,دشت‌ مرغاب‌,2369,839871,267253520640,311390,320000,310000,-1390,-0.45,318210,6820,2.19,296000,326950,1399-11-20
155,فولاي,صنايع فولاد آلياژي يزد,2361,6280088,334632192973,50895,53439,53439,2544,5.0,53285,2390,4.7,51439,53439,1399-11-20
156,دعبيد,لابراتوارداروسازي‌  دكترعبيدي‌,2348,4806363,114844973330,24530,24450,24900,370,1.51,23890,-640,-2.61,23310,25090,1399-11-20
157,قچار,فراوردههاي غذايي وقند چهارمحال,2340,2087231,197630709310,92172,95990,92800,628,0.68,94686,2514,2.73,92501,96780,1399-11-20
158,سشرق,سيمان‌ شرق‌,2308,22805900,161907911080,7350,7500,7000,-350,-4.76,7100,-250,-3.4,6990,7550,1399-11-20
159,كاردان,صندوق س تجارت شاخصي كاردان,2293,1563111,246098481400,159700,164000,156840,-2860,-1.79,157440,-2260,-1.42,144000,164000,1399-11-20
160,قنيشا,قند  نيشابور,2283,3335049,201816050070,59420,62300,61000,1580,2.66,60510,1090,1.83,57100,62300,1399-11-20
161,چدن,توليدي چدن سازان,2277,6452329,168889098280,26400,27720,25590,-810,-3.07,26170,-230,-0.87,25080,27720,1399-11-20
162,فلوله,لوله‌وماشين‌سازي‌ايران‌,2272,9230582,206693519980,21830,22000,22500,670,3.07,22390,560,2.57,21050,22920,1399-11-20
163,شلرد,كود شيميايي اوره لردگان,2265,22770035,167035077533,7289,7504,7250,-39,-0.54,7336,47,0.64,7100,7507,1399-11-20
164,سقاين,سيمان‌ قائن‌,2263,3067119,252303108940,78380,82290,82290,3910,4.99,82260,3880,4.95,78500,82290,1399-11-20
165,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,2248,22233858,143220350470,6430,6700,6500,70,1.09,6440,10,0.16,6110,6700,1399-11-20
166,زدشت,كشت و صنعت دشت خرم دره,2239,5067804,164147956040,33933,32510,32480,-1453,-4.28,32390,-1543,-4.55,32237,33200,1399-11-20
167,مرقام,ايران‌ارقام‌,2215,10098260,173892608200,17970,18200,17320,-650,-3.62,17220,-750,-4.17,17080,18200,1399-11-20
168,كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,2187,12847514,277394727330,22280,22510,21330,-950,-4.26,21590,-690,-3.1,21170,23000,1399-11-20
169,غمينو,شركت صنايع غذايي مينو شرق,2179,12117188,158746259637,13013,13663,12799,-214,-1.64,13101,88,0.68,12363,13663,1399-11-20
170,خرينگ,رينگ‌سازي‌مشهد,2145,3993815,190636779160,49420,48500,46950,-2470,-5.0,47730,-1690,-3.42,46950,51000,1399-11-20
171,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,2139,3536864,170192032160,47460,49830,47780,320,0.67,48120,660,1.39,45090,49830,1399-11-20
172,ومعلم,بيمه معلم,2115,20329175,91715590076,4707,4852,4472,-235,-4.99,4512,-195,-4.14,4472,4852,1399-11-20
173,زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,2110,4609377,139596575660,31190,32400,29640,-1550,-4.97,30290,-900,-2.89,29640,32400,1399-11-20
174,تاپكيش,تجارت الكترونيك پارسيان كيش,2098,6541552,134750758676,21531,21520,20455,-1076,-5.0,20599,-932,-4.33,20455,21962,1399-11-20
175,ستران,سيمان‌ تهران‌,2093,5481884,145661103580,27070,28410,26260,-810,-2.99,26570,-500,-1.85,25810,28410,1399-11-20
176,شكربن,كربن‌ ايران‌,2076,1356870,145587080590,103210,108370,107900,4690,4.54,107300,4090,3.96,104210,108370,1399-11-20
177,غشاذر,پگاه‌آذربايجان‌غربي‌,2071,12070898,242750363660,21040,21040,19990,-1050,-4.99,20110,-930,-4.42,19990,21150,1399-11-20
178,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,2066,4264322,164160622280,38740,39000,38180,-560,-1.45,38500,-240,-0.62,38010,39740,1399-11-20
179,نوين,بيمه نوين,2065,18811005,111491159402,6151,6350,5844,-307,-4.99,5927,-224,-3.64,5844,6350,1399-11-20
180,كترام,توليدي‌ كاشي‌ تكسرام‌,2061,5815421,251327588020,45140,44300,43000,-2140,-4.74,43220,-1920,-4.25,42890,45490,1399-11-20
181,فيروزه,صندوق شاخص30 شركت فيروزه- سهام,2055,1862416,262836979980,145020,146060,140000,-5020,-3.46,141130,-3890,-2.68,132110,146140,1399-11-20
182,وبازار,صندوق س شاخصي بازارآشنا,2054,16472998,164729980000,10000,10000,10000,0,0.0,10000,0,0.0,10000,10000,1399-11-20
183,تملت,تامين سرمايه بانك ملت,2042,10825752,68206757470,6350,6200,6230,-120,-1.89,6300,-50,-0.79,6180,6510,1399-11-20
184,دزهراويح,ح . ‌داروسازي‌زهراوي‌,2041,13078454,84678027840,6110,6720,6420,310,5.07,6470,360,5.89,6120,6720,1399-11-20
