,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
786,ضفلا3004,اختيارخ فولاد-12000-1400/03/19,3,3,6000000,1500,2000,2000,500,33.33,2000,500,33.33,2000,2000,1399-11-20
787,تملي808,تسهيلات مسكن ب. ملي-آبان98,3,74,16194900,208429,218850,218850,10421,5.0,218850,10421,5.0,218850,218850,1399-11-20
788,اخزا8114,اسنادخزانه-م11بودجه98-001013,2,1736000,1477240520000,850280,851610,850280,0,0.0,850945,665,0.08,850280,851610,1399-11-20
789,اخزا7224,اسنادخزانه-م22بودجه97-000428,2,1838000,1696042070000,921510,924020,921510,0,0.0,922765,1255,0.14,921510,924020,1399-11-20
790,اخزا7204,اسنادخزانه-م20بودجه97-000324,2,1420000,1333390650000,939837,938178,939837,0,0.0,939007,-830,-0.09,938178,939837,1399-11-20
791,اخزا906,اسنادخزانه-م6بودجه99-020321,2,1450,1011806000,683149,699864,684880,1731,0.25,697797,14648,2.14,684880,699864,1399-11-20
792,اخزا8074,اسنادخزانه-م7بودجه98-000719,2,668000,593961552000,883509,894819,883509,0,0.0,889164,5655,0.64,883509,894819,1399-11-20
793,كابگن,توليدي و صنعتي آبگينه‌,2,63632,326432160,5080,5130,5130,50,0.98,5083,3,0.06,5130,5130,1399-11-20
794,زير0003پ02,زيره سبز0003 دانش(پ),2,19,9072897,490000,480000,473271,-16729,-3.41,477521,-12479,-2.55,473271,480000,1399-11-20
795,وسخراج,شركت س استان خراسان جنوبي,2,31400,66254000,2220,2110,2110,-110,-4.95,2220,0,0.0,2110,2110,1399-11-20
796,زعف0008پ09,زعفران0008نگين نوين(پ),2,1043,128706822,124500,131554,123050,-1450,-1.16,123401,-1099,-0.88,123050,131554,1399-11-20
797,شستا992,اجاره تامين اجتماعي-سپهر991226,2,10,10000000,999999,1000000,1000000,1,0.0,1000000,1,0.0,1000000,1000000,1399-11-20
798,اراد454,مرابحه عام دولت4-ش.خ 0107,2,4210000,4025945115000,960000,956020,956543,-3457,-0.36,956281,-3719,-0.39,956020,956543,1399-11-20
799,اخزا807,اسنادخزانه-م7بودجه98-000719,2,571,504501062,883509,883522,883542,33,0.0,883539,30,0.0,883522,883542,1399-11-20
800,اخزا7164,اسنادخزانه-م16بودجه97-000407,2,1636000,1563838494000,932000,979783,932000,0,0.0,955891,23891,2.56,932000,979783,1399-11-20
801,ضفلا3002,اختيارخ فولاد-9000-1400/03/19,2,22,76120000,3200,3460,3460,260,8.13,3460,260,8.13,3460,3460,1399-11-20
